circuit,trojan,a_status,b_status,c_status,a_runtime_ms,b_runtime_ms,c_runtime_ms,b_over_c_runtime,a_cec_rounds,b_cec_rounds,c_cec_rounds,a_dt_builds,b_dt_builds,c_dt_builds,b_effective_rules,b_effective_literals,b_effective_depth,c_effective_rules,c_effective_literals,c_effective_depth,formal_miter_status,formal_miter_added,formal_miter_fn,formal_miter_fp,formal_miter_retries,formal_miter_proved,formal_miter_total_ms
c2670,c2670_trojan93,PASS,PASS,PASS,520.263,550.822,647.84,0.8502438873795999,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,74.1362
c2670,c2670_trojan94,PASS,PASS,PASS,616.392,551.065,669.674,0.8228854636733696,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,93.4919
c2670,c2670_trojan95,PASS,PASS,PASS,466.327,452.775,573.924,0.7889110753340164,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,73.6369
c2670,c2670_trojan96,PASS,PASS,PASS,1167.36,1185.29,1221.99,0.9699670210067185,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,88.7195
c2670,c2670_trojan97,PASS,PASS,PASS,589.055,564.699,797.235,0.7083218875237539,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,80.1246
c2670,c2670_trojan98,PASS,PASS,PASS,867.512,814.842,982.508,0.8293489722221091,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,94.4755
c2670,c2670_trojan99,PASS,PASS,PASS,730.854,702.858,865.261,0.8123075002802622,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,95.8215
c3540,c3540_trojan0,PASS,PASS,PASS,5314.32,4987.94,4690.69,1.0633702077945888,0,0,0,1,1,1,1,1,1,1,1,1,skipped,0,0,0,0,0,0
c3540,c3540_trojan1,PASS,PASS,PASS,2670.3,2437.32,2078.97,1.172369009653819,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,168.5707
c3540,c3540_trojan10,PASS,PASS,PASS,2906.69,10875.3,2890.02,3.763053542882056,0,0,0,1,1,1,1,1,1,1,1,1,skipped,0,0,0,0,0,0
c3540,c3540_trojan11,PASS,PASS,PASS,5804.98,6375.88,6239.25,1.02189846536042,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,337.609
c3540,c3540_trojan12,PASS,PASS,PASS,1074.49,953.358,997.412,0.9558316924199828,0,0,0,1,1,1,1,1,1,1,1,1,skipped,0,0,0,0,0,0
c3540,c3540_trojan13,PASS,PASS,PASS,898.147,821.68,851.987,0.9644278609884892,0,0,0,1,1,1,1,1,1,1,1,1,skipped,0,0,0,0,0,0
c3540,c3540_trojan14,PASS,PASS,PASS,1910.11,2015.81,2239.46,0.9001321747206915,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,332.9133
c3540,c3540_trojan15,PASS,PASS,PASS,1844.2,1952.52,2277.58,0.8572783392899481,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,301.0577
c3540,c3540_trojan16,PASS,PASS,PASS,749.66,770.37,741.766,1.038562026299399,0,0,0,1,1,1,1,1,1,1,1,1,skipped,0,0,0,0,0,0
c3540,c3540_trojan17,PASS,PASS,PASS,4998.36,5373.82,5498.56,0.9773140604085432,0,0,0,1,1,1,1,1,1,1,1,1,skipped,0,0,0,0,0,0
c3540,c3540_trojan18,PASS,PASS,PASS,4147.7,4397.84,4471.85,0.9834498026543824,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,300.0028
c3540,c3540_trojan19,PASS,PASS,PASS,710.95,749.631,621.195,1.2067563325525799,0,0,0,1,1,1,1,1,1,1,1,1,skipped,0,0,0,0,0,0
c3540,c3540_trojan2,PASS,PASS,PASS,7618.0,6641.33,6513.93,1.0195580855182662,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,298.1282
c3540,c3540_trojan20,PASS,PASS,PASS,2218.84,2128.9,2227.72,0.9556407447973714,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,287.1383
c3540,c3540_trojan21,PASS,PASS,PASS,3590.38,2258.14,2785.21,0.8107611275271882,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,306.4866
c3540,c3540_trojan22,PASS,PASS,PASS,8435.32,2018.8,2079.97,0.9705909219844517,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,263.2636
c3540,c3540_trojan23,PASS,PASS,PASS,3537.44,2011.9,2189.49,0.918889787119375,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,240.3145
c3540,c3540_trojan24,PASS,PASS,PASS,3575.6,3137.19,3569.18,0.8789665973697041,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,153.8035
c3540,c3540_trojan25,PASS,PASS,PASS,505.76,444.34,603.049,0.7368223809342193,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,155.8144
c3540,c3540_trojan26,PASS,PASS,PASS,748.309,1048.45,838.93,1.249746701155043,0,0,0,1,1,1,1,1,1,1,1,1,skipped,0,0,0,0,0,0
c3540,c3540_trojan27,PASS,PASS,PASS,1209.54,1290.06,1544.37,0.8353309116338702,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,266.3589
c3540,c3540_trojan28,PASS,PASS,PASS,2094.18,2369.9,1919.91,1.234380778265648,0,0,0,1,1,1,1,1,1,1,1,1,skipped,0,0,0,0,0,0
c3540,c3540_trojan29,PASS,PASS,PASS,640.05,664.886,729.021,0.912025853850575,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,144.8983
c3540,c3540_trojan3,PASS,PASS,PASS,2021.96,1821.07,2017.23,0.90275774205222,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,218.8624
c3540,c3540_trojan30,PASS,PASS,PASS,1743.96,1707.23,1739.08,0.9816857188858478,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,152.5551
c3540,c3540_trojan31,PASS,PASS,PASS,2893.01,2748.8,2626.78,1.046452310433306,0,0,0,1,1,1,1,1,1,1,1,1,skipped,0,0,0,0,0,0
c3540,c3540_trojan32,PASS,PASS,PASS,1813.49,1850.28,2011.93,0.91965426232523,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,278.6849
c3540,c3540_trojan33,PASS,PASS,PASS,867.308,854.823,826.74,1.0339683576456926,0,0,0,1,1,1,1,1,1,1,1,1,skipped,0,0,0,0,0,0
c3540,c3540_trojan34,PASS,PASS,PASS,571.236,449.461,1083.5,0.41482325796031383,0,0,0,1,1,2,1,1,1,1,1,1,skipped,5,0,5,1,0,327.9755
c3540,c3540_trojan35,PASS,PASS,PASS,4708.76,5198.99,4584.76,1.1339721163157939,0,0,0,1,1,1,1,1,1,1,1,1,skipped,0,0,0,0,0,0
c3540,c3540_trojan36,PASS,PASS,PASS,6741.45,6777.92,7159.26,0.946734718392683,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,263.6586
c3540,c3540_trojan37,PASS,PASS,PASS,1620.97,1157.46,1271.64,0.9102104369161083,4,3,0,5,4,3,1,1,1,1,1,1,skipped,10,0,10,2,0,525.9686
c3540,c3540_trojan38,PASS,PASS,PASS,669.197,740.159,672.625,1.100403642445642,0,0,0,1,1,1,1,1,1,1,1,1,skipped,0,0,0,0,0,0
c3540,c3540_trojan39,PASS,PASS,PASS,1862.15,2362.66,1796.32,1.3152779014874856,0,0,0,1,1,1,1,1,1,1,1,1,skipped,0,0,0,0,0,0
c3540,c3540_trojan4,PASS,PASS,PASS,2793.26,2234.08,2505.35,0.8917237112579081,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,203.4833
c3540,c3540_trojan40,PASS,PASS,PASS,10860.0,7800.17,9436.45,0.8266000455679837,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,359.6327
c3540,c3540_trojan41,PASS,PASS,PASS,969.02,589.295,853.983,0.6900547200588302,0,0,0,1,1,1,1,1,1,1,1,1,skipped,0,0,0,0,0,0
c3540,c3540_trojan42,PASS,PASS,PASS,5087.49,4418.13,5804.71,0.7611284629206283,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,221.4593
c3540,c3540_trojan43,PASS,PASS,PASS,2750.24,2233.04,2143.06,1.0419866919264977,0,0,0,1,1,1,1,1,1,1,1,1,skipped,0,0,0,0,0,0
c3540,c3540_trojan44,PASS,PASS,PASS,497.839,452.21,1026.45,0.4405572604608115,0,0,0,1,1,2,1,1,1,1,1,1,skipped,5,0,5,1,0,246.3234
c3540,c3540_trojan45,PASS,PASS,PASS,5068.87,2554.08,3893.36,0.6560092054164012,0,0,0,1,1,1,1,1,1,1,1,1,skipped,0,0,0,0,0,0
c3540,c3540_trojan46,PASS,PASS,PASS,1712.85,1728.4,1932.78,0.8942559422179452,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,236.9835
